Source,Target,Type,Weight
1,2,Undirected,2
1,3,Undirected,2
1,4,Undirected,2
1,5,Undirected,2
1,6,Undirected,4
1,8,Undirected,2
1,9,Undirected,2
1,17,Undirected,6
2,3,Undirected,6
2,4,Undirected,6
2,5,Undirected,6
2,6,Undirected,6
2,7,Undirected,6
2,8,Undirected,6
2,9,Undirected,6
2,12,Undirected,6
3,4,Undirected,6
3,5,Undirected,6
3,6,Undirected,6
3,7,Undirected,6
3,8,Undirected,6
3,9,Undirected,6
3,12,Undirected,6
4,5,Undirected,6
4,6,Undirected,6
4,7,Undirected,6
4,8,Undirected,6
4,9,Undirected,6
4,12,Undirected,6
5,6,Undirected,6
5,8,Undirected,6
5,9,Undirected,6
5,12,Undirected,6
6,7,Undirected,6
6,9,Undirected,6
6,8,Undirected,6
6,12,Undirected,6
7,8,Undirected,6
7,9,Undirected,6
7,12,Undirected,6
7,15,Undirected,6
8,9,Undirected,6
8,12,Undirected,6
9,12,Undirected,6
10,11,Undirected,2
10,18,Undirected,2
10,19,Undirected,2
10,20,Undirected,4
10,16,Undirected,2
10,13,Undirected,2
11,13,Undirected,2
11,16,Undirected,2
11,18,Undirected,2
13,14,Undirected,6
13,18,Undirected,6
13,19,Undirected,6
13,20,Undirected,2
14,18,Undirected,6
14,19,Undirected,6
18,19,Undirected,6
16,5,Undirected,6
15,10,Undirected,6
15,16,Undirected,6
15,20,Undirected,6
15,11,Undirected,2
3,17,Undirected,1
2,17,Undirected,1
