Source;Target;Weight;Type
1;2;1;Undirected
1;3;1;Undirected
1;4;1;Undirected
1;5;1;Undirected
1;6;2;Undirected
1;8;1;Undirected
1;9;1;Undirected
1;15;3;Undirected
1;17;3;Undirected
2;3;3;Undirected
2;4;3;Undirected
2;5;3;Undirected
2;6;3;Undirected
2;7;3;Undirected
2;8;3;Undirected
2;9;3;Undirected
2;12;3;Undirected
2;15;3;Undirected
3;4;3;Undirected
3;5;3;Undirected
3;6;3;Undirected
3;7;3;Undirected
3;8;3;Undirected
3;9;3;Undirected
3;12;3;Undirected
3;15;3;Undirected
4;5;3;Undirected
4;6;3;Undirected
4;7;3;Undirected
4;8;3;Undirected
4;9;3;Undirected
4;12;3;Undirected
4;15;3;Undirected
5;6;3;Undirected
5;8;3;Undirected
5;9;3;Undirected
5;12;3;Undirected
6;7;3;Undirected
6;9;3;Undirected
6;8;3;Undirected
6;12;3;Undirected
6;15;3;Undirected
7;8;3;Undirected
7;9;3;Undirected
7;12;3;Undirected
7;15;3;Undirected
8;9;3;Undirected
8;12;3;Undirected
8;15;3;Undirected
9;12;3;Undirected
9;15;3;Undirected
10;11;1;Undirected
10;18;1;Undirected
10;19;1;Undirected
10;20;2;Undirected
10;16;1;Undirected
10;13;1;Undirected
11;13;1;Undirected
11;16;1;Undirected
11;18;1;Undirected
12;15;3;Undirected
13;14;3;Undirected
13;18;3;Undirected
13;19;3;Undirected
13;20;1;Undirected
14;18;3;Undirected
14;19;3;Undirected
18;19;3;Undirected
